,Unnamed: 0,Date,Rate,currency,rate,year,month,month_str
215,216,2008-06-01,{'CNY': 10.784971},CNY,10.784971,2008,6,June
216,217,2009-06-01,{'USD': 1.418202},USD,1.418202,2009,6,June
217,218,2009-06-01,{'GBP': 0.863707},GBP,0.863707,2009,6,June
218,219,2009-06-01,{'JPY': 136.078968},JPY,136.078968,2009,6,June
219,220,2009-06-01,{'CNY': 9.682501},CNY,9.682501,2009,6,June
220,221,2010-06-01,{'USD': 1.222654},USD,1.222654,2010,6,June
221,222,2010-06-01,{'GBP': 0.836261},GBP,0.836261,2010,6,June
222,223,2010-06-01,{'JPY': 111.335013},JPY,111.335013,2010,6,June
223,224,2010-06-01,{'CNY': 8.349835},CNY,8.349835,2010,6,June
224,225,2011-06-01,{'USD': 1.438104},USD,1.438104,2011,6,June
225,226,2011-06-01,{'GBP': 0.877737},GBP,0.877737,2011,6,June
226,227,2011-06-01,{'JPY': 116.532646},JPY,116.532646,2011,6,June
227,228,2011-06-01,{'CNY': 9.316314},CNY,9.316314,2011,6,June
228,229,2012-06-01,{'USD': 1.240196},USD,1.240196,2012,6,June
229,230,2012-06-01,{'GBP': 0.808179},GBP,0.808179,2012,6,June
230,231,2012-06-01,{'JPY': 96.890636},JPY,96.890636,2012,6,June
231,232,2012-06-01,{'CNY': 7.899936},CNY,7.899936,2012,6,June
232,233,2013-06-01,{'USD': 1.299039},USD,1.299039,2013,6,June
233,234,2013-06-01,{'GBP': 0.854982},GBP,0.854982,2013,6,June
234,235,2013-06-01,{'JPY': 130.657673},JPY,130.657673,2013,6,June
235,236,2013-06-01,{'CNY': 7.983323},CNY,7.983323,2013,6,June
236,237,2014-06-01,{'USD': 1.362788},USD,1.362788,2014,6,June
237,238,2014-06-01,{'GBP': 0.81338},GBP,0.81338,2014,6,June
238,239,2014-06-01,{'JPY': 138.715165},JPY,138.715165,2014,6,June
239,240,2014-06-01,{'CNY': 8.492923},CNY,8.492923,2014,6,June
240,241,2005-07-01,{'USD': 1.197754},USD,1.197754,2005,7,July
241,242,2005-07-01,{'GBP': 0.675175},GBP,0.675175,2005,7,July
242,243,2005-07-01,{'JPY': 133.498486},JPY,133.498486,2005,7,July
243,244,2005-07-01,{'CNY': 9.911891},CNY,9.911891,2005,7,July
244,245,2006-07-01,{'USD': 1.275026},USD,1.275026,2006,7,July
245,246,2006-07-01,{'GBP': 0.691959},GBP,0.691959,2006,7,July
246,247,2006-07-01,{'JPY': 146.005502},JPY,146.005502,2006,7,July
247,248,2006-07-01,{'CNY': 10.192616},CNY,10.192616,2006,7,July
248,249,2007-07-01,{'USD': 1.352022},USD,1.352022,2007,7,July
249,250,2007-07-01,{'GBP': 0.674101},GBP,0.674101,2007,7,July
250,251,2007-07-01,{'JPY': 166.651212},JPY,166.651212,2007,7,July
251,252,2007-07-01,{'CNY': 10.293402},CNY,10.293402,2007,7,July
252,253,2008-07-01,{'USD': 1.578363},USD,1.578363,2008,7,July
253,254,2008-07-01,{'GBP': 0.791541},GBP,0.791541,2008,7,July
254,255,2008-07-01,{'JPY': 166.979745},JPY,166.979745,2008,7,July
255,256,2008-07-01,{'CNY': 10.825201},CNY,10.825201,2008,7,July
256,257,2009-07-01,{'USD': 1.415298},USD,1.415298,2009,7,July
257,258,2009-07-01,{'GBP': 0.858612},GBP,0.858612,2009,7,July
258,259,2009-07-01,{'JPY': 136.740352},JPY,136.740352,2009,7,July
259,260,2009-07-01,{'CNY': 9.670606},CNY,9.670606,2009,7,July
260,261,2010-07-01,{'USD': 1.245837},USD,1.245837,2010,7,July
261,262,2010-07-01,{'GBP': 0.825214},GBP,0.825214,2010,7,July
262,263,2010-07-01,{'JPY': 109.289835},JPY,109.289835,2010,7,July
263,264,2010-07-01,{'CNY': 8.448055},CNY,8.448055,2010,7,July
